Date,Description,Amount,Vendor,Account
2024-01-15,Office Supplies,125.50,Staples,Business Checking
2024-01-16,Coffee Meeting,45.00,Starbucks,Business Credit
2024-01-17,Personal Groceries,89.25,Whole Foods,Personal Card
2024-01-18,Software Subscription,49.99,Adobe,Business Credit
2024-01-20,Gas for delivery,55.00,Shell,Business Checking
2024-01-22,Client Lunch,78.50,Restaurant ABC,Business Credit
2024-01-23,Home Internet,79.99,Comcast,Personal Card
2024-01-25,Office Rent,1200.00,Landlord LLC,Business Checking
2024-01-26,Equipment Purchase,450.00,Best Buy,Business Credit
2024-01-28,Personal Dinner,62.30,Pizza Place,Personal Card
